,Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
221,Type A,Good,TV,2340.0,500-1000,7+ Years,Male,No,Vehicle,28.0,House Owner,Professional / Management,No,Yes
222,Type A,Good,TV,2307.0,500-1000,7+ Years,Male,No,Vehicle,39.0,House Owner,Skilled Labor,No,Yes
223,Type A,Good,TV,2093.0,200-500,2-5 Years,Female,Yes,Property - Real Estate,27.0,House Owner,Skilled Labor,No,Yes
224,Type A,Good,TV,1281.0,0-200,2-5 Years,Male,No,Vehicle,23.0,House Owner,Skilled Labor,No,Yes
225,Type A,Good,Buying a Used Car,3382.0,No Data,2-5 Years,Male,No,Savings Account,32.0,House Owner,Skilled Labor,No,Yes
226,Type A,Good,TV,3192.0,0-200,0-2 Years,Female,No,Savings Account,27.0,House Owner,Skilled Labor,No,Yes
227,Type A,Good,Renovation,5198.0,No Data,7+ Years,Male,No,Savings Account,49.0,House Owner,Skilled Labor,No,Yes
228,Type A,Good,TV,2181.0,0-200,0-2 Years,Female,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
229,Type A,Good,Learning / Edu purposes,1838.0,0-200,2-5 Years,Male,No,No Security,35.0,Free,Skilled Labor,No,No
230,Type A,Good,TV,2413.0,No Data,2-5 Years,Female,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
231,Type A,Good,Buying a Used Car,8136.0,0-200,2-5 Years,Female,No,Savings Account,32.0,House Owner,Skilled Labor,No,Yes
232,Type A,Good,Buying a Used Car,9447.0,No Data,2-5 Years,Male,No,Savings Account,39.0,House Owner,Services,No,Yes
233,Type A,Good,TV,5959.0,No Data,0-2 Years,Female,No,Vehicle,43.0,House Owner,Skilled Labor,No,No
234,Type A,Good,TV,1223.0,500-1000,7+ Years,Male,No,Savings Account,49.0,House Owner,Skilled Labor,No,Yes
235,Type A,Good,Home furniture,2724.0,0-200,0-2 Years,Male,No,Savings Account,26.0,House Owner,Services,No,Yes
236,Type A,Good,Home furniture,2003.0,0-200,2-5 Years,Male,No,No Security,49.0,Free,Skilled Labor,No,Yes
237,Type A,Good,TV,10146.0,200-500,5-7 Years,Female,No,Property - Real Estate,22.0,House Owner,Skilled Labor,No,Yes
238,Type A,Good,TV,1348.0,200-500,7+ Years,Male,No,No Security,44.0,Free,Skilled Labor,No,Yes
239,Type A,Good,TV,1929.0,0-200,2-5 Years,Male,No,Savings Account,37.0,House Owner,Skilled Labor,Yes,Yes
240,Type A,Good,Home Devices,1267.0,500-1000,5-7 Years,Male,No,Savings Account,34.0,House Owner,Skilled Labor,No,Yes
241,Type A,Good,Buying a New Car,929.0,500-1000,7+ Years,Male,No,Savings Account,35.0,House Owner,Skilled Labor,No,Yes
242,Type A,Good,Home furniture,2991.0,500-1000,2-5 Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,Yes
243,Type A,Good,Home furniture,783.0,0-200,2-5 Years,Female,No,Property - Real Estate,27.0,House Owner,Skilled Labor,No,Yes
244,Type A,Good,Support for Business,4606.0,1000+,2-5 Years,Male,No,Savings Account,52.0,House Owner,Professional / Management,No,No
245,Type A,Good,Buying a Used Car,1416.0,1000+,5-7 Years,Male,No,Savings Account,54.0,House Owner,Skilled Labor,Yes,Yes
246,Type A,Good,TV,3850.0,No Data,7+ Years,Female,No,Property - Real Estate,45.0,House Owner,Services,No,Yes
247,Type A,Good,Buying a New Car,1374.0,0-200,2-5 Years,Female,No,Vehicle,65.0,House Owner,Skilled Labor,No,Yes
248,Type A,Good,TV,716.0,0-200,2-5 Years,Male,No,Property - Real Estate,29.0,House Owner,Skilled Labor,No,Yes
249,Type A,Good,Buying a Used Car,4667.0,0-200,2-5 Years,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
250,Type A,Good,Renovation,2618.0,0-200,2-5 Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,Yes
251,Type A,Good,TV,1487.0,0-200,5-7 Years,Male,No,Vehicle,21.0,House Owner,Skilled Labor,No,No
252,Type A,Good,Buying a New Car,2511.0,500-1000,7+ Years,Male,No,No Security,49.0,Free,Services,No,Yes
253,Type A,Good,TV,2158.0,200-500,5-7 Years,Male,No,No Security,34.0,House Owner,Skilled Labor,No,Yes
254,Type A,Good,TV,1605.0,0-200,5-7 Years,Male,No,Savings Account,49.0,House Owner,Skilled Labor,No,Yes
255,Type A,Good,Support for Business,1261.0,0-200,5-7 Years,Male,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,Yes
256,Type A,Good,Buying a Used Car,3819.0,200-500,0-2 Years,Female,No,Vehicle,25.0,House Owner,Skilled Labor,No,Yes
257,Type A,Good,TV,1551.0,0-200,0-2 Years,Female,No,Vehicle,37.0,House Owner,Skilled Labor,No,Yes
258,Type A,Good,TV,1019.0,No Data,7+ Years,Male,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
259,Type A,Good,Buying a New Car,2680.0,No Data,5-7 Years,Male,No,Savings Account,32.0,House Owner,Skilled Labor,Yes,Yes
260,Type A,Good,TV,2700.0,0-200,2-5 Years,Male,No,Property - Real Estate,31.0,House Owner,Skilled Labor,No,Yes
261,Type A,Good,Home furniture,4628.0,0-200,0-2 Years,Female,No,Savings Account,32.0,House Owner,Skilled Labor,No,No
262,Type A,Good,Home furniture,1587.0,0-200,2-5 Years,Male,No,Property - Real Estate,51.0,House Owner,Skilled Labor,No,Yes
263,Type A,Good,Support for Business,1088.0,0-200,2-5 Years,Married,No,Property - Real Estate,26.0,House Owner,Skilled Labor,Yes,Yes
264,Type A,Good,Buying a New Car,1301.0,No Data,7+ Years,Male,Yes,Savings Account,45.0,House Owner,Services,Yes,Yes
265,Type A,Good,Home furniture,2518.0,0-200,2-5 Years,Male,No,Property - Real Estate,44.0,House Owner,Skilled Labor,No,Yes
266,Type A,Good,Buying a New Car,673.0,0-200,Unemployed,Female,No,Property - Real Estate,54.0,House Owner,Not Employed,No,Yes
267,Type A,Good,Home furniture,1553.0,1000+,2-5 Years,Divorced,No,Property - Real Estate,31.0,House Owner,Skilled Labor,No,Yes
268,Type A,Good,Home furniture,5525.0,200-500,2-5 Years,Male,No,Vehicle,24.0,House Owner,Skilled Labor,No,Yes
269,Type A,Good,Buying a New Car,1533.0,1000+,5-7 Years,Female,No,Vehicle,34.0,House Owner,Skilled Labor,No,Yes
270,Type A,Good,Learning / Edu purposes,730.0,500-1000,7+ Years,Male,No,No Security,44.0,Free,Skilled Labor,No,Yes
271,Type A,Good,TV,792.0,0-200,2-5 Years,Married,No,Property - Real Estate,30.0,House Owner,Skilled Labor,No,Yes
272,Type A,Good,Support for Business,1550.0,0-200,5-7 Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,Yes
273,Type A,Good,Buying a New Car,3085.0,No Data,2-5 Years,Male,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,Yes
274,Type A,Good,Support for Business,1464.0,0-200,5-7 Years,Female,No,Vehicle,29.0,House Owner,Skilled Labor,No,Yes
275,Type A,Good,Buying a New Car,1831.0,0-200,2-5 Years,Married,No,Savings Account,31.0,House Owner,Professional / Management,No,Yes
276,Type A,Good,TV,1475.0,0-200,0-2 Years,Married,No,Property - Real Estate,38.0,House Owner,Skilled Labor,No,Yes
277,Type A,Good,TV,3251.0,500-1000,7+ Years,Divorced,No,Vehicle,24.0,House Owner,Professional / Management,No,Yes
278,Type A,Good,Buying a New Car,2800.0,500-1000,5-7 Years,Female,No,Vehicle,30.0,House Owner,Professional / Management,No,Yes
279,Type A,Good,Home furniture,1328.0,0-200,7+ Years,Male,No,Vehicle,21.0,House Owner,Skilled Labor,No,Yes
280,Type A,Good,Support for Business,3465.0,0-200,5-7 Years,Male,No,Property - Real Estate,72.0,House Owner,Services,No,Yes
281,Type A,Good,Buying a New Car,1896.0,0-200,7+ Years,Male,No,Vehicle,38.0,House Owner,Professional / Management,No,Yes
282,Type A,Good,Learning / Edu purposes,720.0,0-200,7+ Years,Male,No,Vehicle,40.0,House Owner,Services,No,No
283,Type A,Good,TV,534.0,0-200,2-5 Years,Female,No,Property - Real Estate,27.0,House Owner,Skilled Labor,No,Yes
284,Type A,Good,Home furniture,2777.0,0-200,7+ Years,Male,No,Savings Account,34.0,House Owner,Skilled Labor,No,Yes
285,Type A,Good,Buying a Used Car,2684.0,0-200,7+ Years,Male,No,Vehicle,34.0,House Owner,Professional / Management,No,Yes
286,Type A,Good,Buying a Used Car,2689.0,0-200,0-2 Years,Female,No,No Security,30.0,House Owner,Professional / Management,No,Yes
287,Type A,Good,TV,4614.0,0-200,0-2 Years,Male,No,Vehicle,32.0,House Owner,Skilled Labor,No,Yes
288,Type A,Good,Support for Business,1965.0,0-200,5-7 Years,Male,No,Vehicle,32.0,House Owner,Skilled Labor,No,Yes
289,Type A,Good,Advance Edu/training,1242.0,No Data,Unemployed,Male,No,Savings Account,37.0,House Owner,Professional / Management,No,Yes
290,Type A,Good,Buying a Used Car,2579.0,500-1000,2-5 Years,Male,No,Vehicle,23.0,House Owner,Skilled Labor,No,Yes
291,Type A,Good,TV,3079.0,0-200,2-5 Years,Male,No,Vehicle,50.0,House Owner,Skilled Labor,No,Yes
292,Type A,Good,Buying a New Car,3761.0,0-200,7+ Years,Female,Yes,No Security,60.0,Free,Skilled Labor,No,Yes
293,Type A,Good,Buying a New Car,1319.0,No Data,2-5 Years,Male,Yes,Savings Account,29.0,House Owner,Services,No,No
294,Type A,Good,TV,1425.0,0-200,2-5 Years,Married,No,Savings Account,29.0,House Owner,Skilled Labor,No,Yes
295,Type A,Good,Buying a Used Car,8604.0,200-500,7+ Years,Male,No,Vehicle,46.0,House Owner,Professional / Management,No,Yes
296,Type A,Good,Buying a Used Car,4699.0,0-200,2-5 Years,Male,No,No Security,33.0,Free,Professional / Management,No,Yes
297,Type A,Good,Buying a New Car,2265.0,No Data,0-2 Years,Male,No,Savings Account,54.0,House Owner,Skilled Labor,No,Yes
298,Type A,Good,Buying a Used Car,3502.0,200-500,5-7 Years,Female,No,Vehicle,24.0,House Owner,Skilled Labor,No,Yes
299,Type A,Good,TV,1317.0,200-500,5-7 Years,Married,No,Savings Account,26.0,House Owner,Skilled Labor,No,Yes
300,Type A,Good,TV,3121.0,No Data,0-2 Years,Male,No,Vehicle,26.0,House Owner,Skilled Labor,No,Yes
301,Type A,Good,TV,1554.0,0-200,5-7 Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,Yes
302,Type A,Good,Buying a New Car,5007.0,No Data,2-5 Years,Female,No,Savings Account,27.0,House Owner,Skilled Labor,No,No
303,Type A,Good,Advance Edu/training,944.0,0-200,0-2 Years,Married,No,Vehicle,25.0,House Owner,Services,No,Yes
304,Type A,Good,Buying a New Car,2146.0,No Data,7+ Years,Female,No,No Security,50.0,Free,Professional / Management,No,Yes
305,Type A,Good,Support for Business,1592.0,1000+,7+ Years,Female,No,Property - Real Estate,34.0,House Owner,Services,No,Yes
306,Type A,Good,Home furniture,3369.0,0-200,2-5 Years,Female,No,Vehicle,30.0,House Owner,Professional / Management,No,No
307,Type A,Good,TV,2055.0,0-200,0-2 Years,Male,No,Property - Real Estate,33.0,House Owner,Skilled Labor,No,Yes
308,Type A,Good,Buying a Used Car,1310.0,No Data,7+ Years,Male,No,No Security,45.0,Free,Skilled Labor,No,Yes
309,Type A,Good,Buying a New Car,651.0,0-200,2-5 Years,Divorced,No,Property - Real Estate,47.0,House Owner,Services,No,Yes
310,Type A,Good,Support for Business,3915.0,No Data,2-5 Years,Divorced,No,Property - Real Estate,38.0,House Owner,Skilled Labor,No,No
311,Type A,Good,TV,1992.0,No Data,7+ Years,Male,No,Vehicle,37.0,House Owner,Skilled Labor,No,Yes
312,Type A,Good,Learning / Edu purposes,3838.0,No Data,7+ Years,Male,No,Property - Real Estate,65.0,House Owner,Services,No,Yes
313,Type A,Good,Learning / Edu purposes,1396.0,0-200,7+ Years,Male,No,Savings Account,45.0,House Owner,Skilled Labor,No,Yes
314,Type A,Good,TV,1379.0,500-1000,5-7 Years,Female,No,Vehicle,29.0,House Owner,Skilled Labor,No,Yes
315,Type A,Good,TV,1513.0,0-200,0-2 Years,Female,No,Vehicle,36.0,House Owner,Skilled Labor,No,Yes
316,Type A,Good,Learning / Edu purposes,4635.0,200-500,2-5 Years,Male,No,Savings Account,42.0,House Owner,Professional / Management,No,No
317,Type A,Good,Buying a New Car,1387.0,500-1000,2-5 Years,Female,No,Savings Account,26.0,House Owner,Skilled Labor,No,No
318,Type A,Good,TV,10228.0,No Data,5-7 Years,Male,No,Vehicle,38.0,House Owner,Skilled Labor,No,Yes
319,Type A,Good,Home furniture,2244.0,0-200,7+ Years,Male,No,Property - Real Estate,48.0,House Owner,Skilled Labor,No,Yes
320,Type A,Good,Support for Business,5746.0,200-500,5-7 Years,Male,No,Vehicle,30.0,House Owner,Skilled Labor,No,Yes
321,Type A,Good,Buying a New Car,10375.0,0-200,7+ Years,Male,No,Savings Account,44.0,House Owner,Professional / Management,No,Yes
322,Type A,Good,TV,1459.0,0-200,0-2 Years,Female,No,Property - Real Estate,26.0,House Owner,Skilled Labor,No,Yes
323,Type A,Good,Learning / Edu purposes,1551.0,0-200,0-2 Years,Female,No,No Security,57.0,House Owner,Skilled Labor,No,Yes
324,Type A,Good,TV,2284.0,No Data,2-5 Years,Male,No,No Security,39.0,Free,Skilled Labor,No,Yes
325,Type A,Good,Buying a New Car,6546.0,No Data,2-5 Years,Male,No,No Security,33.0,Free,Skilled Labor,No,Yes
326,Type A,Good,TV,2757.0,200-500,7+ Years,Male,Yes,Vehicle,37.0,House Owner,Skilled Labor,No,Yes
327,Type A,Good,TV,2289.0,0-200,5-7 Years,Male,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
328,Type A,Good,Buying a New Car,5336.0,500-1000,7+ Years,Female,No,No Security,36.0,Free,Skilled Labor,No,Yes
329,Type A,Good,Buying a Used Car,2487.0,No Data,7+ Years,Male,No,Property - Real Estate,45.0,House Owner,Professional / Management,No,Yes
330,Type A,Good,TV,1516.0,0-200,2-5 Years,Male,No,No Security,33.0,Free,Professional / Management,No,Yes
331,Type A,Good,TV,3170.0,No Data,7+ Years,Male,No,Savings Account,39.0,House Owner,Skilled Labor,No,Yes
332,Type A,Good,Buying a Used Car,5249.0,No Data,2-5 Years,Male,No,Vehicle,25.0,House Owner,Skilled Labor,No,Yes
333,Type A,Good,Buying a Used Car,3044.0,0-200,5-7 Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,Yes
334,Type A,Good,Buying a New Car,1397.0,0-200,2-5 Years,Male,Yes,Property - Real Estate,31.0,House Owner,Skilled Labor,No,Yes
335,Type A,Good,TV,2676.0,500-1000,7+ Years,Male,No,Vehicle,41.0,House Owner,Skilled Labor,No,Yes
336,Type A,Good,Buying a Used Car,6326.0,No Data,7+ Years,Male,No,Vehicle,42.0,House Owner,Professional / Management,No,Yes
337,Type A,Good,Home Devices,1341.0,500-1000,2-5 Years,Divorced,No,Property - Real Estate,64.0,House Owner,Skilled Labor,No,Yes
338,Type A,Good,Buying a New Car,1110.0,0-200,2-5 Years,Married,No,Property - Real Estate,29.0,House Owner,Skilled Labor,No,Yes
339,Type A,Good,Support for Business,4184.0,0-200,2-5 Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,No
340,Type A,Good,TV,891.0,No Data,2-5 Years,Female,No,Vehicle,21.0,House Owner,Skilled Labor,No,Yes
341,Type A,Good,Renovation,1944.0,0-200,0-2 Years,Female,No,Property - Real Estate,25.0,House Owner,Skilled Labor,No,No
342,Type A,Good,Home furniture,3434.0,0-200,7+ Years,Male,No,Savings Account,46.0,House Owner,Skilled Labor,No,Yes
343,Type A,Good,Buying a New Car,1251.0,0-200,0-2 Years,Married,No,Property - Real Estate,28.0,House Owner,Skilled Labor,No,Yes
344,Type A,Good,Buying a New Car,1493.0,200-500,0-2 Years,Married,No,Property - Real Estate,31.0,House Owner,Skilled Labor,No,Yes
345,Type A,Good,Advance Edu/training,905.0,No Data,5-7 Years,Female,No,Savings Account,39.0,House Owner,Skilled Labor,No,Yes
346,Type A,Good,Support for Business,7422.0,No Data,7+ Years,Male,No,Savings Account,37.0,House Owner,Skilled Labor,No,Yes
347,Type A,Good,Home Devices,893.0,No Data,0-2 Years,Female,No,Property - Real Estate,26.0,House Owner,Skilled Labor,No,Yes
348,Type A,Good,TV,3597.0,0-200,7+ Years,Male,No,Vehicle,28.0,House Owner,Skilled Labor,No,Yes
349,Type A,Good,Buying a Used Car,7818.0,0-200,5-7 Years,Male,No,Vehicle,39.0,House Owner,Professional / Management,No,Yes
350,Type A,Good,Buying a Used Car,9292.0,No Data,2-5 Years,Divorced,No,No Security,50.0,Free,Skilled Labor,No,Yes
351,Type A,Good,TV,1286.0,0-200,7+ Years,Male,No,Property - Real Estate,36.0,House Owner,Professional / Management,No,Yes
352,Type A,Good,Support for Business,2143.0,1000+,7+ Years,Divorced,No,Property - Real Estate,29.0,House Owner,Skilled Labor,No,Yes
353,Type A,Good,Buying a Used Car,2855.0,200-500,2-5 Years,Male,Yes,Property - Real Estate,33.0,House Owner,Skilled Labor,No,Yes
354,Type A,Good,TV,1868.0,No Data,7+ Years,Male,No,Vehicle,58.0,House Owner,Skilled Labor,No,Yes
355,Type A,Good,Buying a New Car,3537.0,No Data,0-2 Years,Male,No,Savings Account,45.0,House Owner,Professional / Management,No,Yes
356,Type A,Good,Buying a New Car,1549.0,0-200,2-5 Years,Male,No,Property - Real Estate,29.0,House Owner,Services,Yes,Yes
357,Type A,Good,Home furniture,941.0,No Data,5-7 Years,Male,No,Vehicle,31.0,House Owner,Skilled Labor,No,Yes
358,Type A,Good,Buying a New Car,2878.0,No Data,Unemployed,Male,No,No Security,38.0,House Owner,Professional / Management,No,Yes
359,Type A,Good,Home furniture,1540.0,0-200,0-2 Years,Married,Yes,Savings Account,41.0,House Owner,Services,No,No
360,Type A,Good,TV,3636.0,200-500,7+ Years,Male,No,Vehicle,32.0,House Owner,Skilled Labor,No,No
361,Type A,Good,Home furniture,10989.0,0-200,Unemployed,Female,No,Vehicle,28.0,House Owner,Professional / Management,No,No
362,Type A,Good,Buying a New Car,3575.0,No Data,2-5 Years,Male,No,No Security,29.0,House Owner,Skilled Labor,No,Yes
363,Type A,Good,TV,2409.0,500-1000,7+ Years,Male,No,Vehicle,36.0,House Owner,Skilled Labor,No,No
364,Type A,Good,Buying a New Car,7407.0,0-200,2-5 Years,Male,No,Savings Account,42.0,House Owner,Services,No,Yes
365,Type A,Good,TV,1423.0,200-500,Unemployed,Female,No,Property - Real Estate,64.0,House Owner,Skilled Labor,No,Yes
366,Type A,Good,Buying a New Car,2410.0,No Data,7+ Years,Male,No,Vehicle,51.0,House Owner,Skilled Labor,No,Yes
367,Type A,Good,Home furniture,1746.0,0-200,5-7 Years,Female,No,Property - Real Estate,29.0,House Owner,Services,No,Yes
368,Type A,Good,TV,820.0,0-200,7+ Years,Male,No,Vehicle,40.0,House Owner,Skilled Labor,No,Yes
369,Type B,Good,TV,5964.0,0-200,2-5 Years,Female,No,Property - Real Estate,24.0,House Owner,Skilled Labor,Yes,No
370,Type B,Good,Buying a Used Car,6949.0,0-200,2-5 Years,Male,No,Vehicle,36.0,Renting,Professional / Management,No,Yes
371,Type B,critical,Buying a New Car,5252.0,0-200,Unemployed,Married,No,Vehicle,30.0,House Owner,Professional / Management,No,No
372,Type B,Good,Buying a New Car,1303.0,0-200,0-2 Years,Female,No,Vehicle,26.0,Renting,Skilled Labor,No,No
373,Type B,Good,TV,1586.0,0-200,2-5 Years,Female,No,Vehicle,22.0,House Owner,Skilled Labor,No,Yes
374,Type B,Good,Buying a Used Car,12588.0,0-200,7+ Years,Female,No,No Security,44.0,Free,Professional / Management,No,No
375,Type B,critical,Buying a Used Car,1818.0,200-500,0-2 Years,Male,No,Savings Account,43.0,House Owner,Skilled Labor,No,Yes
376,Type B,Good,TV,2428.0,0-200,2-5 Years,Male,Yes,Property - Real Estate,34.0,House Owner,Skilled Labor,No,Yes
377,Type B,Good,Support for Business,1926.0,1000+,0-2 Years,Married,No,Property - Real Estate,38.0,House Owner,Skilled Labor,No,Yes
378,Type B,Good,Buying a New Car,5868.0,200-500,2-5 Years,Male,No,Vehicle,30.0,House Owner,Skilled Labor,No,Yes
379,Type B,critical,TV,4766.0,0-200,0-2 Years,Male,No,Savings Account,25.0,House Owner,Services,No,No
380,Type B,Good,TV,475.0,0-200,2-5 Years,Male,No,Property - Real Estate,26.0,House Owner,Skilled Labor,No,Yes
381,Type B,Good,TV,1167.0,500-1000,2-5 Years,Divorced,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
382,Type B,Average (known delays),Renovation,6210.0,0-200,2-5 Years,Male,No,Property - Real Estate,42.0,House Owner,Services,No,No
383,Type B,Average (known delays),Home furniture,2340.0,No Data,0-2 Years,Male,No,Savings Account,29.0,House Owner,Services,No,Yes
384,Type B,Average (known delays),Buying a Used Car,5980.0,0-200,7+ Years,Male,No,Vehicle,28.0,House Owner,Professional / Management,No,No
385,Type B,Average (known delays),Buying a New Car,2227.0,0-200,7+ Years,Male,No,No Security,55.0,Free,Skilled Labor,No,No
386,Type B,Good,TV,6487.0,No Data,Unemployed,Male,No,No Security,52.0,House Owner,Professional / Management,No,No
387,Type B,Good,Support for Business,1408.0,0-200,2-5 Years,Married,No,Property - Real Estate,27.0,House Owner,Skilled Labor,No,Yes
388,Type B,critical,TV,1545.0,No Data,7+ Years,Male,Yes,Property - Real Estate,49.0,House Owner,Skilled Labor,No,Yes
389,Type B,Good,Support for Business,1963.0,0-200,7+ Years,Male,No,No Security,59.0,Free,Professional / Management,No,No
390,Type B,Good,Support for Business,14423.0,0-200,2-5 Years,Male,No,Vehicle,27.0,House Owner,Skilled Labor,No,No
391,Type B,Good,Buying a New Car,1024.0,1000+,2-5 Years,Married,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,Yes
392,Type B,critical,Support for Business,5960.0,0-200,5-7 Years,Female,No,Property - Real Estate,43.0,House Owner,Services,No,No
393,Type B,Average (known delays),TV,4781.0,0-200,5-7 Years,Male,No,Savings Account,52.0,House Owner,Skilled Labor,No,No
394,Type B,Good,Home furniture,3851.0,0-200,0-2 Years,Married,No,Savings Account,20.0,House Owner,Skilled Labor,No,Yes
395,Type B,critical,Home furniture,1311.0,0-200,0-2 Years,Female,No,Savings Account,29.0,House Owner,Skilled Labor,No,No
396,Type B,Good,Learning / Edu purposes,12623.0,200-500,2-5 Years,Male,No,No Security,46.0,Free,Skilled Labor,No,No
397,Type B,Good,Buying a New Car,1326.0,1000+,7+ Years,Male,No,Property - Real Estate,56.0,House Owner,Skilled Labor,No,Yes
398,Type B,Good,Support for Business,15950.0,0-200,0-2 Years,Male,No,No Security,59.0,Renting,Skilled Labor,No,No
399,Type B,Good,Support for Business,2633.0,200-500,2-5 Years,Male,No,Vehicle,36.0,House Owner,Skilled Labor,No,Yes
400,Type B,critical,TV,2351.0,0-200,7+ Years,Male,No,Property - Real Estate,37.0,House Owner,Skilled Labor,No,No
401,Type B,Average (known delays),Buying a Used Car,7077.0,No Data,5-7 Years,Male,No,Savings Account,34.0,Renting,Professional / Management,No,Yes
402,Type B,Good,TV,2342.0,0-200,5-7 Years,Male,No,Vehicle,24.0,Renting,Skilled Labor,No,Yes
403,Type B,critical,Home furniture,1921.0,0-200,5-7 Years,Male,No,Vehicle,34.0,Renting,Skilled Labor,No,No
404,Type B,critical,All other,11956.0,0-200,2-5 Years,Male,Yes,Vehicle,40.0,House Owner,Professional / Management,No,No
405,Type B,Good,Buying a New Car,6098.0,0-200,5-7 Years,Male,No,Vehicle,32.0,House Owner,Skilled Labor,No,Yes
406,Type B,Good,Support for Business,1413.0,500-1000,7+ Years,Married,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,Yes
407,Type B,Average (known delays),Support for Business,1460.0,200-500,7+ Years,Divorced,No,Vehicle,33.0,House Owner,Skilled Labor,No,Yes
408,Type B,Good,Buying a New Car,6274.0,0-200,5-7 Years,Male,No,Property - Real Estate,29.0,Renting,Services,No,Yes
409,Type B,critical,Buying a New Car,2370.0,500-1000,5-7 Years,Divorced,No,Vehicle,35.0,House Owner,Professional / Management,No,Yes
410,Type B,Good,Home furniture,1928.0,No Data,0-2 Years,Female,No,Property - Real Estate,25.0,Renting,Skilled Labor,No,No
411,Type B,Good,Renovation,648.0,0-200,2-5 Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,No
412,Type B,critical,Buying a Used Car,1862.0,0-200,Unemployed,Male,No,Vehicle,36.0,House Owner,Professional / Management,No,No
413,Type B,Good,Buying a New Car,8504.0,No Data,5-7 Years,Female,No,Vehicle,26.0,House Owner,Skilled Labor,No,Yes
414,Type B,Good,TV,782.0,500-1000,2-5 Years,Male,No,Property - Real Estate,68.0,House Owner,Services,No,No
415,Type B,critical,TV,2731.0,No Data,5-7 Years,Male,Yes,Property - Real Estate,34.0,House Owner,Skilled Labor,No,Yes
416,Type B,Good,TV,4801.0,0-200,0-2 Years,Female,No,No Security,31.0,House Owner,Professional / Management,No,Yes
417,Type B,Average (known delays),Support for Business,3581.0,200-500,5-7 Years,Male,No,Vehicle,32.0,House Owner,Skilled Labor,No,Yes
418,Type B,critical,Buying a Used Car,7774.0,1000+,7+ Years,Female,No,No Security,30.0,Renting,Skilled Labor,No,Yes
419,Type B,Average (known delays),Support for Business,6985.0,200-500,5-7 Years,Male,No,Vehicle,34.0,Renting,Professional / Management,No,Yes
420,Type B,Good,Buying a New Car,3527.0,200-500,5-7 Years,Male,No,Vehicle,40.0,House Owner,Skilled Labor,No,Yes
421,Type B,Good,Buying a New Car,7312.0,0-200,Unemployed,Male,No,No Security,69.0,Free,Professional / Management,No,Yes
422,Type B,Good,Home furniture,1579.0,1000+,0-2 Years,Female,No,Property - Real Estate,22.0,House Owner,Skilled Labor,No,Yes
423,Type B,critical,Support for Business,1939.0,0-200,7+ Years,Divorced,No,Property - Real Estate,32.0,House Owner,Skilled Labor,No,No
424,Type B,Average (known delays),Home furniture,2071.0,0-200,Unemployed,Female,No,Savings Account,36.0,House Owner,Professional / Management,No,No
425,Type B,Good,TV,1434.0,0-200,2-5 Years,Male,Yes,Property - Real Estate,33.0,House Owner,Skilled Labor,Yes,Yes
426,Type B,Average (known delays),Support for Business,4459.0,0-200,2-5 Years,Divorced,No,Property - Real Estate,28.0,House Owner,Professional / Management,No,No
427,Type B,critical,Buying a New Car,894.0,0-200,7+ Years,Male,No,Vehicle,36.0,House Owner,Skilled Labor,No,No
428,Type B,Average (known delays),Buying a Used Car,5148.0,0-200,7+ Years,Female,No,No Security,72.0,Free,Professional / Management,No,No
429,Type B,critical,Buying a New Car,1194.0,0-200,Unemployed,Male,No,Vehicle,66.0,Free,Not Employed,No,No
430,Type B,Good,Home furniture,3245.0,0-200,2-5 Years,Female,No,Vehicle,35.0,House Owner,Skilled Labor,No,Yes
431,Type B,Good,Support for Business,3853.0,200-500,5-7 Years,Male,No,No Security,32.0,Free,Services,No,No
432,Type B,Good,Support for Business,3918.0,0-200,2-5 Years,Male,No,Vehicle,36.0,House Owner,Skilled Labor,No,No
433,Type B,Good,TV,3033.0,200-500,2-5 Years,Male,Yes,Savings Account,22.0,Renting,Skilled Labor,No,No
434,Type B,critical,Learning / Edu purposes,1510.0,0-200,7+ Years,Female,No,Vehicle,33.0,House Owner,Professional / Management,No,No
435,Type B,Good,Home furniture,959.0,200-500,0-2 Years,Female,No,Vehicle,28.0,Renting,Skilled Labor,No,No
436,Type B,Good,Buying a Used Car,2771.0,No Data,7+ Years,Male,No,No Security,37.0,Free,Skilled Labor,No,Yes
